erakond,message
Vasakpartei,"Протестую!
Я
    ненавижу
                  человечье устройство,
ненавижу организацию,
                                     вид
                                           и рост его.
/В. Маяковский/"
Vasakpartei,"EÜVP
Veel korraks silme ette manad
sa oma rahva, endas pettund,
kel võõrad tõigad, kui hüpnoosis
kõik ümber ""juhi"" peata kanad,-
rõivas seisab ""lunastaja"" poosis,
näeb massi ahelaisse kettund..

Pead tundma alandust ja häbi,
et oled eestlane - tõust samast,
kes jälle tahab olla ori...
Ei kännust kaugel' kuku käbi,
on vajalik suur mõttevalam,
et päästa tühja aju jamast!

Kui kaua kanda oma sarka,
pealt vaata enda matust tummalt?
Nii sureb orjastatud sugu..
Tee viiteks vaja juhti tarka,
kes suudaks luua ajalugu,
-healt, kurjalt tüürida, emb-kumba!?

On vaja kaalu elu vaega
ja heita orjapõlve-mähe..
Ta ise vaimustub sest võimest!"
Vasakpartei,"Какая разница или чего общего между; (европейские ценности???)

1) Eestimaa Ühendatud Vasakpartei / Объединённая Левая партия Эстонии, которая рекламирует себя: за крепкую, здоровую, полноценную- семью(полагаю семью: муж-жена и дети?) и 

2) JP Вяйсянен- председатель КомПартии Финляндии JP Väisänen.
o	В гражданском браке с Микой Лайтиненом, Vabas kooselus isiku(te)ga Mika Laitinen, 
https://www.facebook.com/jpvaisanen.jpvaisanen
https://www.facebook.com/jpvaisanen.jpvaisanen/about?section=all_relationships"
Vasakpartei,"Объединенная Левая Партия Эстонии солидарна с работниками, которые требуют от работодателя организовать на предприятии безопасную рабочую среду и признания избранного трудовым коллективом доверенного лица."
Vasakpartei,"Tänase päeva seisuga Eestis hääletasid juba 1193 inimest, mis on 26% vajaliku 4500-st. Hääleta ka sina!

На сегодняшний день в Эстонии проголосовали уже 1193 человека, 26% из необходимых 4500 голосов. Голосуй и ты!"
Vasakpartei,"Так держать!

Мы проиграли битву. Но мы выиграли войну

Источник: http://politikus.ru/events/55645-my-proigrali-bitvu-no-my-vyigrali-voynu.html
Politikus.ru"
Vasakpartei,"Внимание к тому, что мы, Левая партия, выступаем против договора TTIP с вашей стороны огромно. Спасибо! Но не забывайте сами проголосовать тоже. Сделать это можно на странице www.stop-ttip.org. На сегодняшний день уже 1076 жителей Эстонии поставили свои подписи против договора. А надо 4500. 4500 голосов - это квота нашей страны для того, чтобы заявить евро-чиновникам, что такие важные договора нельзя заключать за спиной народа. Сейчас мы набрали 23%, а финны, например 344%. Что, мы хуже, что-ли? Голосуй - и мы победим!"
Vasakpartei,"Eestimaa Ühendatud Vasakpartei atub koos Euroopa Vasakparteiga Atlandi-ülese kaubandus- ja investeerimispartnerluse ehk TTIP ehk EL-USA vabakaubanduslepingu vastu.

•TTIP läbirääkimiste tulemusena käivad Euroopa toiduohutuse standardid alla ning üle Atlandi hakkab liikuma Euroopasse rohkem geneetiliselt muundatud toitu, hormoonidega kasvatatud loomade liha ja klooriga töödeldud kanaliha
•TTIP leping toob endaga kaasa EL jaoks nõrgemad andmekaitse reeglid
•TTIP leping karmistab intellektuaalomandi kaitset ning piirab seeläbi kodanike vaba ja avatud juurdepääsu internetile
•Investori ja riigi vaheliste vaidluste lahendamise kord TTIP lepingus piirab riikide õigust kujundada üldsuse huvidest lähtuvalt oma poliitikaid
•TTIP on salastatud leping ja seda räägitakse läbi salaja

Объединённая Левая партия Эстонии совместно с Европейской Левой партией выступает против заключения договора о Трансатлантическом торговом и инвестиционном партнерстве (TTIP) между США и Европейским союзом."
Vasakpartei,"Vasakpartei on ainsa erakonnana Eestis viimase kahekümne kolme aasta jooksul seisnud linna ja maa töörahva elatustaseme ja sotsiaalsete õiguste kaitsel, kogu aeg rõhutades neidsamu seisukohti, mis nüüd on hakanud kõlbama kõikidesse  valimisprogrammidesse..."
Vasakpartei,"Тема дебатов 10 февраля - Что политические партии могут и хотят сделать для того, чтобы у всех желающих была достойная работа с достойной зарплатой? В студии кандидат от ОЛПЭ нр. 559 VLADIMIR DROZDOV."
Vasakpartei,"Meie kandidaatid valimistel / Наши кандидаты на выборах

Tallinna Haabersti, Põhja-Tallinna ja Kristiine linnaosa
 nr 552 VICTOR POLYAKOFF
 nr 553 DIANA VINOGRADOVA
 nr 554 ADA LEIST
 nr 555 JEKATERINA KRAVTSOVA
Tallinna Kesklinna, Lasnamäe ja Pirita linnaosa
 nr 556 VALEV KALD
 nr 557 VLADIMIR KRUTŠININ
 nr 558 ALEKSEI DAVÕDOV
Tallinna Mustamäe ja Nõmme linnaosa
 nr 559 VLADIMIR DROZDOV
 nr 560 SVETLANA MOSKVINA
Harju- ja Raplamaa
 nr 561 GEORGI BÕSTROV
 nr 562 JEVGENI GOLOVATŠ
nr 563 HEINO RÜÜTEL
 nr 564 ALEKSANDR PAURI
 nr 565 MADIS TÄNAVSUU
Hiiu-, Lääne- ja Saaremaa
 nr 566 INNA KALD
Lääne-Virumaa
 nr 567 TÕNU VEEREMAA
Ida-Virumaa
 nr 568 VIKTOR MALÕGIN
Järva- ja Viljandimaa
 nr 569 EDUARD TANVEL
Jõgeva- ja Tartumaa
 nr 570 SERGEI SUMIN
 nr 571 MARIJAM RANNAK
 nr 572 ALEKSANDR ŠIROKOV
Tartu linn
 nr 573 VIIVI-HELBE PELJUHHOVSKA
 nr 574 ANDRES LAIDVEE
Võru-, Valga- ja Põlvamaa
 nr 575 NIINA NETŠAJEVA
Pärnumaa
 nr 576 GENNADI VEREŠTŠAGIN"
Rohelised,#rohelised #PÕXIT #TE100 #EUParliament #taastuvenergia #otse
Rohelised,"Ole oluliste muudatuste poolt, anna allkiri veelindude arutu tapmise lõpetamiseks!
https://rahvaalgatus.ee/initiatives/92cc16ee-107e-4208-b92c-2ffed24d4f4b
#rohelised"
Rohelised,"Registreeri hiljemalt 20. oktoobril!!
Eesti Maaülikool korraldab infopäeva, kus tutvustatakse Eesti seire tulemusi mulla, vee ja toidu kvaliteedi kohta.
 
Aeg: 25. oktoober 2017, kell 12-17
Kava
12.00-13.00    Taimekaitsevahendite kasutus, jäägid mullas – Priit Penu, Põllumajandusuuringute Keskus
13.00-14.00    Nitraadid ja pestitsiidijäägid vees – Ülle Leisk, Eesti Keskkonnauuringute Keskus
14.00-14.30    Energiapaus
14.30-15.30    Taimekaitsevahendite seire tulemused toidus – Kadi Padur, Veterinaar- ja Toiduamet
15.30-16.30    Pestitsiidijääkide mõju organismidele – Anne Luik, Eesti Maaülikool
16.30-17.00    Arutelu
 Infopäeval osalemine on tasuta."
Rohelised,"Rohelised tulevad!  ERR kirjutab: Taas on valimiskünnisele lähenenud Eestimaa Rohelised, keda toetab neli protsenti valijatest. Tähelepanuväärne on aga see, et kohalike omavalitsuste volikogude valimiste kampaanias mitteosalev Vabaerakond jääb oma kolme protsendi suuruse toetusega nüüd alla nii valimiskünnisest kui ka rohelistest.
Kui nii edasi läheb, siis Kaspar Kurve poolt ennustatud 30% Riigikogu valimistel pole enam mägede taga. Hääleta pühapäeval roheliste poolt ja ole osaks roherevolutsioonist! Rohelised on nagu ühiskonna südametunnistus- kõik erakonnad peavad Roheliste visa keskonnaalase tegutsemise tõttu jälgima oma programmis keskonnaeetikat. Kahetsusväärsel moel jälgivad nad seda ainult sõnades, mitte tegudes. Aita Rohelised volikokku, et keskkonnast ka tegudes hoolitaks! Üle pika aja on Rohelistel vägagi reaalne šanss Tallinna volikokku sisse saada. Iga hääl on meile praegu ülimalt oluline. Hääleta pühapäeval roheliste poolt! Jaga seda kirja, et kõik, kes tahavad, saaksid aidata Tallinnat rohelisemaks muuta!

#rohelised #kov2017 #valimised #sunlinnvajabsind #zuzulinnapeaks #tallinnroheliseks"
Rohelised,💚
Rohelised,"Rohkem tähelepanu rohelistele teemadele 
Peep Mardiste, "" Tartu Heaks""  427
Kuulen teinekord linnarohelust puudutavatel aruteludel, et puude koht on metsas ja linnas olgu majad. Päris nii lihtne see siiski pole ja ma ei usu, et keegi ennast puudevabas linnas tegelikult hästi tunneks.
Linnaparkidel ja alleedel on mitu olulist rolli ja seetõttu on valimisliit „Tartu Heaks“ programmis kirjas põhimõte, et linnaparke tuleb võimalusel säilitada, neid uuendada ja uusi juurde rajada. 

Pargid mitmekesisemaks 

Isegi kui planeeringutes on antud võimalused parkidesse ehitamiseks, tuleb enne lõplikke otsuseid otsida alternatiivseid asukohti välistamaks rohealadele ehitamist. Parkidel ja Emajõe-äärsetel alleedel on oluline roll puhkealade, looduslike rohekoridoride ja linnaõhu puhastajatena. 

Samas ei ole parkides sae kasutamine loomulikult keelatud. On palju parke, mis tuleks võtta aktiivsemasse kasutusse, rajades neisse näiteks laste mänguväljakuid, rannavolle platse, vabalavasid või koerte jooksualasid. Tartuga ühineva Tähtvere valla ja teiste Tartuga külgnevate omavalitsustega tuleb teha koostööd, et säilitada linna ümber rohelist vööndit ja rajada sinna atraktiivseid puhkealasid.

Oluline on hoida linna üks olulisemaid sümboleid - Emajõgi - puhta ja ligipääsetavana. Kesklinnas tuleb otsida võimalusi turvaliseks juurdepääsuks jõele nt treppide või pontoonidele rajatud pindadega. Jõekaldad tuleb muuta atraktiivsemaks veesõidukite sildumiskohtade, välikohvikute, vaateterrasside rajamisega. Uusi ehitisi planeerides tuleb kergliiklejatele ööpäevaringselt lahti hoida katkematud kallasrajad jõe ääres. Puidurafineerimistehase rajamine Tartu lähistele Emajõe äärde võiks olla mõeldav juhul, et on tagatud Emajõe veekvaliteet ning kui tehase tegevus ei mõjuta negatiivselt säästva metsanduse põhimõtete rakendamist ning säilimist Eesti metsapoliitikas.

Linna asutused eeskujuks

Linnavalitsus, linna hallatavad ja linna valitseva mõju all olevad äriühingud ja sihtasutused peaks olema keskkonnahoiu ja uute tehnoloogiate alal positiivseks eeskujuks. Passiivmajad, päikesepaneelid, elektriautod ja ametijalgrattad peavaks muutuma loomulikuks osaks linnavalitsuse toimimises. Linnavalitsus peaks uuendama ja karmistama rahvusvahelise Linnapeade Pakti raames võetud energiasäästu ja kliimakaitse eesmärke. Sarnaselt majandusaasta aruandega oleks mõistlik hakata iga-aastaselt mõõtma linna asutuste summaarset keskkonnamõju (näiteks ökoloogilise jalajälje meetodil). Oleks progressiivne, kui Tartu võtaks pikas plaanis sihiks linna kliimaneutraalsuse saavutamise. Taastuvallikatest pärit elektri kasutamine võiks olla linna esimene samm. 
Peep Mardiste on keskkonnakaitsja, kodanikuühiskonna aktivist ja konsultant.
Kontakt: 5078111, pepe@ut.ee, www.mardiste.ee
Erakond Eestimaa Rohelised kandidaadid Tallinnas, Tartus, Kohtla-Järvel ja mujalgi: http://erakond.ee/kov-2017/kandidaadid/"
Rohelised,"Euroopa Parlamendi täiskogu võtab Kataloonia referendumi kolmapäeval arutlusele. Rahvaste enesemääramisõigust austavad Rohelised soovitasid arutelu teemaks ""Tohutu politseivägivald rahumeelsete inimeste vastu"", aga fraktsioonide vahelise kompromissina jäi peale ""Põhiseadus, õigusriik ja põhiõigused Kataloonia sündmuste valguses"". Taaskord võtab Euroopas parlament üles teema, millest riigijuhid eelistavad mööda vaadata! Kas parlamentäärid suudavad umbsõlme lahti harutada, nagu nad tegid ACTA ja mitme muu asjaga? Kui palju parem oleks Euroopa, kui seadusandlik võim kuuluks eurooplaste valitud parlamendile, mitte riikide valitsuste nimetatud volinikele?
Roheliste juhatuse liige ja valimisliidus Tartu Heaks kandideeriv Marko Kaasik
http://erakond.ee/kov-2017/kandidaadid/"
Rohelised,"Tallinnale ei ole vaja rohkem karjääripoliitikuid ja kõige vähem on Tallinnale vaja järjekordset karjääripoliitikust linnapead! Tallinn on meie kõigi linn ja väärib parimat ning tulevikku vaatavat poliitikat! 21. sajandi probleemide lahendamiseks 20. sajandi lahendused ei tööta! Kodanikupalga pilootprogramm, mis hõlmab tuhandet tallinlast, on üks mitmetest valimislubadustest, mis Rohelisi teistest eristab. Loe meie programmi siit:

http://erakond.ee/kov-2017-programm/

#sulinnvajabsind #zuzulinnapeaks #kodanikupalk #rohelised

Taustaks mängib Uus Energia - Viidipäev"
Rohelised,"Edward von Lõngus, «Kepitants Eesti moodi»
Roheliste kommentaar on ühene ja selge - keskkonnaministeerium tuleb looduserüüstajatest puhastada! http://kultuur.postimees.ee/4252195/edward-von-longus-rundas-keskkonnaministeeriumi"
Rohelised,"Nagu viimasel ajal tihti näeme, ei lubata tallinlastel neile vajalikul viisil linnaruumi kasutada. Kehtestatakse keelde ja paigaldatakse valvekaameraid, et jumala pärast inimesed oma enda linnas sportlikult aega veeta ei saaks. 
Teeme Tallinnasse ka sellise 💚
#Rohelised #SulinnvajabSind"
Rohelised,"Koristasime mereranda! Ja hästi koristasime! Aitasime merel ka ise puhastuda - plastipuru täis adru sai kõige adrurikkamalt alalt rannaäärse kõnnitee äärde kärutatud, et linnavalitsus selle siis ära viia saaks. Prügikotte kogunes ka hulgi. Töö käigus liitus kohalike ja Roheliste seltskonnaga Peterburi elanik Timur, kes oli sealt mööda jalutamas. ""Vaatasin, et teete õiget asja - ei saanud ju niisama mööda minna!"" ütles ta. ""Pealegi on osa sellest saastest ju meilt pärit paraku... Me käime ka vahel väikese seltskonnaga randa koristamas.""
 https://uudised.tv3.ee/eesti/uudis/2017/09/16/rohelised-koristasid-russalka-aarset-randa/"
Rohelised,"Mõtle globaalselt, tegutse lokaalselt. Julgusta tööstust plasti tootmisest loobuma, vältides plasti sisaldavate toodete tarbimist. 
Võimalusel osta pakendivaba kaupa, ära kasuta mikropärleid sisaldavaid koorijaid, dušigeele jms, väldi plastifikaatoritega kaunistatud riideid.
#mikroplast #pakendivaba #mikropärlid #hääletaomarahaga #rohelised"
Rohelised,"Trenni, trenni 💚"
Rohelised,"""Juuni alguses avalikustas MTÜ Avalikult Rail Balticust 4,1 miljardi euro suurused EY tasuvusanalüüsi vead, mis seab RB projekti abikõlblikuse kahtluse alla ja tekitab riski, et EL-i toetused raudtee rajamiseks tuleb Eesti maksumaksjatel tagasi maksta.
Majandus- ja kommunikatsiooniministeerium (MKM) keeldub selle teemal avalikkusele selgitusi jagamast ning dokumente avalikustamast."" 
#FailBaltic #Rohelised"
Rohelised,"PÄÄSTAME LAGUNEVA MEREKINDLUSE
Rohelised näevad, et sarnaselt Telliskivi piirkonnale võiks ka Patareist saada linnaelanike ja külaliste poolt aktiivselt kasutatav ala. Roheliste Tallinna visioonis on Patarei merekindlus pealinnale vääriline, inimsõbralik paik, mis  ajastutruu arhitektuuri kaasaegse kasutusega loob linna urbanistlikku, kuid samas ainulaadset miljööd ning taastab Tallinna kui merelinna staatuse, mitte ainult kaardil vaid ka reaalsuses.
Palun jaga
Su linn vajab Sind 💚 
#Rohelised #KOV2017 #urbancityplanning"
Rohelised,
Rohelised,#GoGreen #Rohelised #KOV2017 #FideeliaSigneRoots
Rohelised,"Kodanikupalga pilootprogramm on Eestimaa Roheliste üks Tallinna KOV valimiste valimislubadustest. Pilootprogrammi valitakse loterii käigus 1000 erineva sissetulekuga tallinlast, kes ilma ühegi tingimuse ning kohustuseta hakkavad järgneval neljal aastal saama 400 Eurot kuus.

Eestimaa Roheliste juhatuse liige Kaspar Kurve kirjutas Postimehes sellest, miks debatt vasak- vs parempoolsus on tänapäeval täiesti irrelevantne ja iganenud ning miks 21. sajandi uueks võtmesõnaks on justnimelt kodanikupalk.

#Rohelised #21sajand #kodanikupalk #KOV"
Rohelised,"See info asetab Õismäe remmelga teema uude valgusesse... Mitte et planeerimisprotsess oleks vahepeal juba mõistlikumaks muutunud :) , vaid uued väited ja asjaolud näitavad Tallinna linnas ja Eesti riigis toimuvat eriti kehvas valguses.
Remmelga-juhtum peab õpetama, et looduskaitse ja avaliku arvamuse eiramine ei lähe edaspidi enam läbi ning tagajärgi on tunda! Ümberprojekteerimise kulud peab kandma praeguse projekti sirgeldaja.
„Riigikogu keskkonnakomisjoni ümarlaud 22. juunil Haabersti Hõberemmelga teemal. NB! Remmelga eksistents ei mõjuta kuidagi Haabersti ristmiku läbilaskevõimet. (Järgnev materjal EMA lehelt)
Riigikogu keskkonnakomisjonis looduskaitsjate pöördumise tõttu algatatud arutelu Tallinna Haabersti ristmiku laiendamisega seoses tekkinud looduskaitselisest ummikseisust jõudis ettepanekuni: moodustada SÕLTUMATU EKSPERTKOMISJON, kes hindaks nii võimalust säilitada konflikti aluseks muutunud Hõberemmelgas kui ka sõnastaks põhimõtted, millest kohalik omavalitsus peab suurprojektide puhul loodushoiule mõeldes lähtuma.
NB! �1) Haabersti ristmiku rekonstrueerimise plaanilt jääb Hõberemmelga territoorium välja. Kogu vastav retoorika ajakirjanduses on vale – remmelga eksistents ei sega kuidagi Haabersti ristmiku läbilaskevõimet. Hõberemmelgas asub maa-alal, mis kuulub ühe (avalikustamata) jätkuprojekti koosseisu. See jätkuprojekt tuleks korrigeerida nii, et remmelgas jääb paigale.
2) Skandaalne on Tallinna linnavalitsuse otsus oktoobrist 2016 jätta algatamata Haabersti ristmiku eelprojekti keskkonnamõju hindamine.
3) Kehtiva raieloa järgi pole kõnealune hõberemmelgas määratud langetamisele. Raieloas mitte kajastatud remmelgas üritatakse seadusevastaselt maha võtta.
Ümarlaual osalenud Tallinna Ülikooli professori Helen Sooväli-Seppingu ettepanek:
Arvestades�1. Haabersti ristmiku eelprojekti keskkonnamõju hindamise algatamata jätmist�2. Paldiski mnt 159-161 elanikele tekitatud ette teatamata varalist kahju�3. Väga suurt avalikkuse tähelepanu hõberemmelga osas,
teen ettepaneku koostada sõltumatutest keskkonnaekspertidest ning planeerijatest-projekteerijatest koosnev töörühm, kes�1. kaalub võimalusi hõberemmelgas alles jätta,�2. selgitab välja uued võimalikud projekteerimistingimused hõberemmelgale võimalikult hea keskkonna rajamiseks,�3. suhtleb avalikkusega.�Teed projekteerida uuesti on võimalik, sest�1. vastav kogemus on Tallinna LV-l olemas Reidi teel asuvate I väärtusklassi puude säästmisel (kiire ümberprojekteerimine),�2. Haabersti projekti lõpp, lähtuvalt eelarve abikõlbulikkusest on vastavalt 31.08.2023, mitte 2018 , nagu avalikkust eksitavalt on välja öeldud (Määrus: Transpordi infrastruktuuri arendamine perioodil 2014-2020).“

https://youtu.be/xSjjEFZZZwg
#remmelgas  #hõbepaju  #rohelised"
Rohelised,"Otseülekanne Roheliste seminarilt ""Taastuvenergia olevik ning tulevik""
Live stream from the seminar ""Renewable energy- the present and the future"""
Rohelised,"Täna maailma keskkonnapäeval tuli teade Haabersti pajupuu kaitsjatelt, et ametnikud ja töömehed on kohal ja valmistuvad täna puud ilma igasuguste läbirääkimisteta ja puu looduskaitse alla võtmise taotluse menetlemiseta maha võtma. 
Puu valvajad annavad teada, et kõik, kes soovivad väljendada  oma arvamust ja kaitsta puud, TULEKSID KOHE PUU JUURDE Asukoht: Paldiski maantee 161 
#puudekaitseks ‪#WorldEnvironmentDay‬ 
European Greens
Official European Green Capital Award"
Rohelised,"Ökoriik Eesti üks eestvedajatest ning Roheliste liige Rea Raus kirjutab sellest, et Ökoriigi kontseptsioon on oluliselt laiem kui lihtsalt looduskaitse või puhas toit. 
#Ökoriik #Rohelised #teadus #innovatsioon #KOV2017 Rea Raus"
Rohelised,"Hei-Hei!
 Roheliste aseesimehed Aleksander Laane ja Andrei Gudim koos volikogu liikmete ja kohalike aktivistidega on juba sel laupäeval 20.05 kell 11:30 Narva kohvikus Muna. 
Kohtumisel kaardistatakse Ida-Virumaa probleeme ja arutatakse valimisliidu loomist Narva KOV valimisteks!

Привет! 
В эту субботу, 20.05, в 11.30 в кафе Muna,  в Нарве! Зампредседатели зеленых А.Лаане и А.Гудим вместе с местными активистами будут обсуждать проблемы Ида-Виру и поговорим о возможном создании избирательного союза на местных выборах в Нарве!"
Rohelised,"""The most important film of our time.""
− Sir David Attenborough
""Unforgettable and shocking ... well done!""
− Charles Clover, Executive Director, Blue Marine Foundation
https://www.facebook.com/events/121710985055439/"
Rohelised,"Vanu alleesid ja teisi väljakujunenud looduslikke puiskoridore tuleks säilitada, sest need aitavad kompenseerida metsatukkade üha suuremat killustamist. #metsakaitseks #liigirikkus #rohelised"
Rohelised,"Eestimaa Rohelised juhatuse liige Joonas Laks kommenteerib Ühendkuningriikides 23.04.2017 aset leidnud söepõletamise vaba päeva ja toob paralleele Eestis toimuva massilise põlevkivi ahju ajamisega.

https://rohelised.wordpress.com/2017/04/26/rohelised-voorutus-polevkivist"
Rohelised,"Suurbritannia on suureks eeskujuks.

Võõrutusravi on kandmas vilja ja kivisöega hüvasti jätmine on saamas reaalsuseks. Seda näitab olukord, kus terve päev on võimalik mööda saata ilma kivisöe toodetavat energiat tarbimata. Kui kaua peaks vastu Eesti kui Narva elektrijaamadadega peaks midagi juhtuma?

Eestimaa Rohelised on julgelt näoga tuleviku poole ja soovitavad Valitsusel vastu võtta kiiremaid samme #PÕXIT -i suunas!

Noored Rohelised
Ökoriik Eesti
Taastuvenergia 100% - puhta energia võidukäik Eestis"
Rohelised,"Roheliste juhatuse liige Kaspar Kurve kirjutab tänases Äripäevas, et Eesti pole paraku piisavalt innovaatiline Tesla gigatehase siiameelitamiseks. Avaldame artikli toimetamata kujul:

Nende tuhandete uudiste hulgast, mis eelmisel nädalal meie meediasse jõudis, oli üks tähelepanuväärsematest kindlasti see, et Eesti alustas kampaaniat Tesla uue gigatehase Gigafactory 2 siiameelitamiseks. Vaevalt, et kellelgi on vähegi mõjuvaid argumente, miks seda mitte teha- ilmselgelt oleks see fenomenaalne saavutus ning üks suurimaid majanduslikke võite Eesti ajaloos. Tesla gigatehas oleks tõepoolest meie väikesele riigile suur võimalus, ainult et selle võimaluse ära kasutamiseks ei piisa paraku vaid ilusast turundusvideost ega isegi ennastohverdavast lobbytööst. Vaja on astuda mitmeid konkreetseid samme ja kardetavasti oleme nii mitmetegi käikudega lootusetult hiljaks jäämud.

Teslat ning Elon Muski kõige paremini iseloomustavaks sõnaks on tulevik. Musk lähtub justkui herakleitoslikust maailmavaatest, mis kirjeldab olemist kui pidevalt uueks saamise vormi. Sellist terminit nagu status quo tõelise visionääri jaoks ei eksisteeri ega saagi eksisteerida. Innovaatsioon on jõud, mis viib maailma edasi ning siinkohal ei ole motivatooriks kaugeltki mitte raha, vaid miskit palju õilsamat - isetu soov “piire” nihutada. Elon Muski visioon tulevikust ei piirdu ainult Tesla või SpaceX'iga, ta on aktiivne ka mitmel muul rindel. Omaette äramärkimist väärib tegevus tehisintellekti ning superintellekti rindel - terminid, mis nö tavainimesele võivad kõlada nagu muinasjutud, kuid mille potentsiaalsed kasud ning ohud on maailma tippteadlastele unetuid öid pakkunud juba mitmeid aastaid.

Miks peaks Tesla tahtma oma gigatehase Eestisse rajada? Jah, Eesti on tõepoolest mingites aspektides (mille alguseks on e) maailma esirinnas - ja see on kahtlemata tubli saavutus. Aga isegi meie poliitikud, kes igal võimalusel armastavad pasundada kui innovaatiline Eesti on, ei saa realistlikult võttes seda uskuda. Eesti ei ole innovaatiline riik ning kümned võimalused, mida 21. sajand meile pakub, on kasutamata. Mis veelgi hullem - sellesisulist dialoogi praktiliselt ei eksisteerigi. Meie poliitikud on tublid ametnikud ja kindlasti mitte rumalad inimesed, aga kartus reitingute pärast ja puuduv julgus kaks käiku ette mõelda pärsivad suuri otsuseid ja muutuseid, mida Eesti tõepoolest vajab, et kanda välja innovaatilise riigi auväärne tiitel. Ajal, mil paljud riigid astuvad esimesi julgeid samme tuleviku suunas nagu näiteks Hyperloop ning kodanikupalga kehtestamine - teemad, millega Musk isiklikult väga tihedalt seotud on - räägib meie valitsus dinosauruslikust Rail Balticust ning teeb marginaalseid maksusüsteemi muudatusi, mis meid lõpuks tõotatud maale ehk Euroopa viie rikkaima riigi sekka peaksid viima...

Aga kõige krooniks ning mõisteks, mis Eesti mahajäämust vast kõige paremini iseloomustab, on kahtlemata ebaefektiivne põlevkivimajandus, milles seisnebki meie majanduse põhiprobleem, seda ka OECD arvates. Põlevikivi kaevandamine ja kasutamine annab 4,5% SKP-st, aga samas toodab 80-90% koguheitmetest. Nõustun siinkohal täiesti Mario Kadastikuga, kes möödunud nädala Postimehes kirjutas, et just põlevkivi on põhiline faktor, mis on takistuseks potentsiaalsetele suurtele ning olulistele investeeringutesse Eestisse. Põlevkivi ei ole energiaallikas, mis kuulub 21. sajandisse. Selle kasutamiseks ei leidu enam mitte ühtegi ratsionaalselt argumenti. Isegi hinnad, millega üritatakse aeg-ajalt veel põlevkivi kaitsta, on taastuvatel energiaallikatel tänapäeval samasugused või isegi odavamad. Ning praegu on kõigest aasta 2017 - arvestades tehnoloogia arengu kiirust, muutub see bilanss lähiajal taastuvenergia kasuks veelgi. Keskkonna seisukohast on põlevkivi aga lausa kuritegelik. Pole siis ka ime, et Eestimaa Rohelised ning Taastuvenergia koda esitasid Eesti valitsuse Climate Action Networki poolt korraldatud räpase energia subsideerijate konkursile. Ja šanss, et Eesti vähemalt selle võistluse kinni paneb, on väga reaalne. 

Kõige selle valguses on võimalus, et Tesla ja Elon Musk, kes on aastaid seisnud taastuvate energiallikate eesrindel (mõelgem kasvõi Tesla Solar Roof'ile, rääkimata autodest endist), Tesla gigatehase Eesti rajaksid, minimaalne. Sellest on ääretult kahju ning selle põhjuseks ei ole mitte ebaõnn, vaid meie valitsuse suutmatus ajaga kaasas käia. Aga lootma peab, sest mingil imelikul kombel aeg-ajalt imesid ju siiski juhtub.

#Rohelised #FailBaltic #PÕXIT #21sajand #Tesla"
Rohelised,"Rail Balticu vastane meeleavaldus toimub Tallinnas, 22.04, kell 12.00 Vabaduse väljakul! Kuula Roheliste esinaise Züleyxa Izmailova videopöördumist ning ole järgmisel laupäeval kindlasti kohal!

#Rohelised #FailBaltic"
Rohelised,"Eesti Roheline Liikumine ja MTÜ Mondo kutsuvad sind oma ühisüritusele
Seekordne teeõhtu kannab nime ""Palmi all"" ja teemaks on palmiõli.
Teeõhtu toimub 11. aprillil algusega kell 18 Telliskivi 60A, B-hoone. Esinema tulevad Postimehe ajakirjanik
Hanna-Hulda Reinkort ja fotograaf Liis Treimann, kes käisid
Indoneesias vaatamas, kuidas palmiõli toodetakse. 
Mõlemad nägid et
lisaks inimõiguste rikkumistele ja keskkonnakahjudele hävitavad
ettevõtted õlipalmide istanduste nimel Kagu-Aasia põlisrahvaste maid.
Palmiõli on tänapäeval just oma odavuse tõttu üks enimkasutatavaid
taimeõlisid nii toiduaine- kui ka kosmeetikatööstuses, selle
tootmisega kaasneb mitmeid tõsiseid probleeme. Teeõhtul räägime, miks on elu palmi all päris raske ja arutame, milline on hea palmiõli ning
kuidas lõpetada Euroopa ettevõtete tarneahelates looduse ja
põlisrahvaste kuritarvitamine ning inimõiguste rikkumine. Palmiõli on
ka Eestis paljude toiduainete ja kosmeetika üks oluline koostisosa.
Igaüks meist saab läbi oma valikute ja tarbimisharjumuste panustada
arenguriikide talunikele ja tootjate vaesuse vähendamisesse ja
majanduslikku arengusse, sest just needsamad talunikud toodavad suure
osa meie laual olevast toidust.

Üritus on kõigile tasuta."
